sku,18K,14K,9K
C001577,82497,80600,78242
C001578,82497,80600,78242
C001580,22160,20262,17905
C001581,22160,20262,17905
C001589,151957,147932,143160
C001590,151957,147932,143160
C001592,151210,147702,143677
C001593,151210,147702,143677
C001595,56392,52885,48860
C001596,56392,52885,48860
C001601,79910,76230,71975
C001602,79910,76230,71975
C001604,58520,54897,50585
C001605,58520,54897,50585
C001625,30345,26320,22447
C001646,31150,29712,27987
C001647,31150,29712,27987
C001649,62372,60935,59210
C001650,62372,60935,59210
C001643,80715,76345,71112
C001644,80715,76345,71112
C001640,41902,38107,33622
C001641,41902,38107,33622
C001673,14627,13420,12097
C001674,14627,13420,12097
C001664,43225,42017,40522
C001665,43225,42017,40522
C001667,19342,17962,16237
C001668,19342,17962,16237
C001670,56047,49320,41500
C001671,56047,49320,41500
C001652,118722,116135,113030
C001653,118722,116135,113030
C001655,213482,210550,207100
C001656,213482,210550,207100
C001658,381727,378335,374367
C001691,11925,10832,9682
C001692,11925,10832,9682
C001706,83417,78817,73412
C001707,83417,78817,73412
C001688,28735,24997,21470
C001689,28735,24997,21470
C001694,18767,17272,15432
C001695,18767,17272,15432
C001700,50297,47710,44720
C001701,50297,47710,44720
C001676,21815,19917,17732
C001677,21815,19917,17732
C001697,27412,25285,23712
C001698,27412,25285,23712
C001716,46847,43397,39315
C001715,46847,43397,39315
C001736,22562,20837,18825
C001737,22562,20837,18825
C001739,22160,21010,19630
C001740,22160,21010,19630
C001742,15087,13880,12442
C001743,15087,13880,12442
C001679,24307,22332,18882
C001680,24307,22332,18882
C001682,30345,27470,24135
C001683,30345,27470,24135
C001733,20147,19055,17847
C001703,40867,37820,34255
C001704,40867,37820,34255
C001709,29540,27642,25400
C001710,29540,27642,25400
C001724,37360,34945,32127
C001725,37360,34945,32127
C001763,21240,19860,18250
C001764,21240,19860,18250
C001727,61625,57082,51677
C001728,61625,57082,51677
C001757,20607,18882,16985
C001758,20607,18882,16985
C001775,21067,19630,17962
C001776,21067,19630,17962
C001781,18767,17272,15490
C001782,18767,17272,15490
C001784,18077,16640,14972
C001785,18077,16640,14972
C001787,21527,20090,18365
C001788,21527,20090,18365
C001760,43340,40005,36037
C001761,43340,40005,36037
C001790,28850,26262,23272
C001791,28850,26262,23272
C001745,35347,33277,30920
C001746,35347,33277,30920
C001751,43857,40982,37590
C001752,43857,40982,37590
C001799,56277,51907,46905
C001748,27815,25457,23540
C001749,27815,25457,23540
C001766,25745,23732,22332
C001767,25745,23732,22332
C001754,57140,53747,49722
C001755,57140,53747,49722
C001712,51332,47077,42017
C001713,51332,47077,42017
C001769,35347,33105,30460
C001770,35347,33105,30460
C001772,44720,42075,39027
C001773,44720,42075,39027
C001730,37475,33737,29252
C001731,37475,33737,29252
C001793,23790,23252,21585
C001794,23790,23252,21585
C001832,42305,38797,34657
C001833,42305,38797,34657
C001820,48917,45122,40637
C001821,48917,45122,40637
C001822,65535,59497,52425
C001823,65535,59497,52425
C001826,47710,43972,39430
C001827,47710,43972,39430
C001829,47710,43972,39430
C001830,47710,43972,39430
C001835,63062,59670,55645
C001836,63062,59670,55645
C001838,91410,88075,84050
C001839,91410,88075,84050
C000485,31840,29195,26090
C000486,31840,29195,26090
C001844,25572,24135,23367
C001685,56737,52367,47250
C001686,56737,52367,47250
C001796,29712,26837,23502
C001797,29712,26837,23502
C001853,23597,21987,20090
C001854,23597,21987,20090
C001856,18250,16870,15202
C001857,18250,16870,15202
C001847,21585,20032,18077
C001848,21585,20032,18077
C001850,17790,16352,14742
C000488,42937,39947,36440
C000489,42937,39947,36440
C001814,36037,32702,28850
C001815,36037,32702,28850
C001808,35347,31610,27125
C001809,35347,31610,27125
C001865,11810,10315,8705
C001866,11810,10315,8705
C001718,30977,28390,25400
C001719,30977,28390,25400
C001721,41960,38107,33680
C001722,41960,38107,33680
C001811,63752,60417,56507
C001812,63752,60417,56507
C001841,13937,12557,10832
C001842,13937,12557,10832
C001877,69962,64615,58290
C001878,69962,64615,58290
C001886,26492,24365,22850
C001887,26492,24365,22850
C001889,16467,14570,12212
C001890,16467,14570,12212
C001898,21642,19515,16927
C001899,21642,19515,16927
C001901,26262,24192,22620
C001902,26262,24192,22620
C001904,18480,16180,13420
C001905,18480,16180,13420
C001907,12270,11350,10200
C001908,12270,11350,10200
C001910,13017,11637,9970
C001911,13017,11637,9970
C001913,19055,16640,13707
C001914,19055,16640,13707
C001916,21700,20607,19227
C001917,21700,20607,19227
C001919,69905,68410,66685
C001920,69905,68410,66685
C001922,13477,12097,10430
C001923,13477,12097,10430
C001925,19917,18940,17732
C001926,19917,18940,17732
C001883,42650,40120,37187
C001884,42650,40120,37187
C000668,30460,27585,24192
C000669,30460,27585,24192
C002009,105037,102852,100322
C002010,105037,102852,100322
C001943,22447,20320,17905
C001944,22447,20320,17905
C001940,43052,40637,37762
C001941,43052,40637,37762
C002000,50010,46157,41730
C002001,50010,46157,41730
C002003,36210,34255,32012
C002004,36210,34255,32012
C001928,23330,22332,20090
C001929,23330,22332,20090
C001931,29827,28907,27700
C001932,29827,28907,27700
C001934,23195,22102,20722
C001935,23195,22102,20722
C001937,28965,27527,25802
C001938,28965,27527,25802
C001952,29597,25975,22677
C001953,29597,25975,22677
C001949,37130,33507,29252
C001950,37130,33507,29252
C001955,25802,23445,21585
C001956,25802,23445,21585
C002012,16352,14282,11867
C002013,16352,14282,11867
C001859,36497,33105,29080
C001860,36497,33105,29080
C001862,39832,36382,32357
C001863,39832,36382,32357
C001868,34312,30977,26952
C001869,34312,30977,26952
C001946,43282,40982,38280
C001947,43282,40982,38280
C001871,29770,26377,23425
C001872,29770,26377,23425
C001895,47710,43972,39430
C001896,47710,43972,39430
C001970,68065,62660,56335
C001971,68065,62660,56335
C001973,69962,64615,58290
C001974,69962,64615,58290
C001958,70652,68870,66800
C001986,16295,14340,12040
C001985,16295,14340,12040
C002096,83475,80427,76920
C002097,83475,80427,76920
C002099,61567,58980,55990
C002100,61567,58980,55990
C001961,42592,39487,35922
C001962,42592,39487,35922
C001967,36555,33220,29252
C001968,36555,33220,29252
C002006,63407,57600,50757
C002007,63407,57600,50757
C002015,75137,70537,65075
C002016,75137,70537,65075
C002018,48227,44835,40752
C002019,48227,44835,40752
C002022,22332,18307,13707
C002023,22332,18307,13707
C002024,25745,23885,20550
C002025,25745,23885,20550
C002027,30517,27642,24307
C002028,30517,27642,24307
C002030,36440,32012,26837
C002031,36440,32012,26837
C002033,50585,46100,40810
C002034,50585,46100,40810
C002036,43512,41557,39315
C002037,43512,41557,39315
C002040,52425,49090,45180
C002039,52425,49090,45180
C002042,37992,34830,31207
C002043,37992,34830,31207
C002045,43512,41557,39315
C002046,43512,41557,39315
C002048,22965,20780,18192
C002049,22965,20780,18192
C002060,25170,23482,20320
C002061,25170,23482,20320
C002069,27700,24882,22447
C002070,27700,24882,22447
C002075,30057,27010,23445
C002076,30057,27010,23445
C002057,17502,15375,12787
C002058,17502,15375,12787
C002051,63407,61452,59210
C002052,63407,61452,59210
C002054,25917,23962,22620
C002055,25917,23962,22620
C002063,24537,23080,20320
C002064,24537,23080,20320
C002066,21125,18767,16007
C002067,21125,18767,16007
C002072,36900,33852,30287
C002073,36900,33852,30287
C002087,25170,23712,20952
C002088,25170,23712,20952
C002078,28677,25687,23022
C002079,28677,25687,23022
C002090,34082,31725,28907
C002091,34082,31725,28907
C002094,32185,29770,26952
C002093,32185,29770,26952
C002102,21815,20550,19170
C002103,21815,20550,19170
C002105,20722,19457,18077
C002106,20722,19457,18077
C002117,45467,41212,36210
C002118,45467,41212,36210
C002126,40350,36497,32012
C002127,40350,36497,32012
C002129,35462,32817,29712
C002130,35462,32817,29712
C002132,35922,33047,29712
C002133,35922,33047,29712
C002135,54955,52885,50412
C002136,54955,52885,50412
C002147,26492,24135,22275
C002148,26492,24135,22275
C002151,49722,45295,40005
C002150,49722,45295,40005
C002153,17675,15605,13190
C002154,17675,15605,13190
C002156,42822,38912,34312
C002157,42822,38912,34312
C002159,28045,26147,23905
C002160,28045,26147,23905
C002201,42707,38280,33220
C002202,42707,38280,33220
C002204,25400,23675,22505
C002205,25400,23675,22505
C002210,19630,17157,14340
C002211,19630,17157,14340
C002207,39200,35175,30460
C002208,39200,35175,30460
C002213,52022,51102,49895
C002214,52022,51102,49895
C002246,48630,44777,40292
C002247,48630,44777,40292
C002255,27700,25515,23827
C002256,27700,25515,23827
C002258,19630,17560,15087
C002259,19630,17560,15087
C002279,38107,33565,28275
C002294,65592,60417,54265
C002295,65592,60417,54265
C002351,43455,40062,35980
C002352,43455,40062,35980
C002505,30230,27240,23790
C002504,30230,27240,23790
C002543,90202,87672,84567
C002544,90202,87672,84567
C002546,63005,59957,56392
C002547,63005,59957,56392
C002549,61567,58232,54265
C002550,61567,58232,54265
C002552,23540,22045,20205
C002553,23540,22045,20205
C002555,36670,34197,31322
C002556,36670,34197,31322
C002558,29885,27815,25400
C002559,29885,27815,25400
C002561,32242,28907,24997
C002562,32242,28907,24997
C002564,62142,59210,55702
C002565,62142,59210,55702
C002567,28332,24135,19975
C002568,28332,24135,19975
C002570,25975,23252,18940
C002571,25975,23252,18940
C002573,52022,44547,35865
C002576,38280,32760,26377
C002582,64902,56622,46962
C0025823,64902,56622,46962
C002585,41500,38050,34025
C002586,41500,38050,34025
C002588,43397,39890,35750
C002589,43397,39890,35750
C002591,47422,43167,38107
C002592,47422,43167,38107
C002594,27527,23560,19802
C002595,27527,23560,19802
C002597,34312,31610,28447
C002598,34312,31610,28447
C002600,20205,17617,14685
C002601,20205,17617,14685
C002603,27470,24422,21757
C002604,27470,24422,21757
C002606,23847,21872,18422
C002607,23847,21872,18422
C002609,66340,60590,53747
C002610,66340,60590,53747
C002612,36210,32127,27412
C002613,36210,32127,27412
C002615,57312,53920,50010
C002616,57312,53920,50010
C002618,39775,38625,37360
C002619,39775,38625,37360
C002621,70825,69215,67375
C002622,70825,69215,67375
C002624,57370,54322,50757
C002625,57370,54322,50757
C002627,36210,34830,33105
C002628,36210,34830,33105
C002657,40752,35002,28275
C002658,40752,35002,28275
C002660,28275,23790,19572
C002661,28275,23790,19572
C002663,65650,55530,43627
C002664,65650,55530,43627
C002678,23847,23712,22620
C002679,23847,23712,22620
C002681,23675,20837,16352
C002682,23675,20837,16352
C002684,30805,26435,22160
C002685,30805,26435,22160
C002687,55012,47077,37705
C002688,55012,47077,37705
C002666,42707,38280,33220
C002667,42707,38280,33220
C002669,27700,26032,23962
C002670,27700,26032,23962
C002672,16697,14742,12557
C002673,16697,14742,12557
C002675,24710,23022,20032
C002676,24710,23022,20032
C002693,36670,33852,30460
C002694,36670,33852,30460
C002696,17617,16180,14570
C002697,17617,16180,14570
C002699,14340,12672,10660
C002700,14340,12672,10660
C002702,25515,23330,21642
C002703,25515,23330,21642
C002690,51447,48745,45525
C002691,51447,48745,45525
C002786,57082,51735,45410
C002787,57082,51735,45410
C002789,57197,53632,49435
C002790,57197,53632,49435
C002792,30690,27930,24710
C002793,30690,27930,24710
C002795,42765,37417,31150
C002796,42765,37417,31150
C002798,35922,31667,26607
C002799,35922,31667,26607
C002780,37130,34485,31207
C002781,37130,34485,31207
C002711,67375,59440,50010
C002712,67375,59440,50010
C002714,39775,37245,34312
C002715,39775,37245,34312
C002723,40465,37590,34197
C002724,40465,37590,34197
C002735,92157,89110,85545
C002736,92157,89110,85545
C002750,68122,63810,58807
C002751,68122,63810,58807
C002753,68122,63810,58807
C002754,68122,63810,58807
C002759,84855,79737,73700
C002760,84855,79737,73700
C002762,84855,79737,73700
C002763,84855,79737,73700
C002765,39487,36957,33852
C002766,39487,36957,33852
C002768,47997,45122,41672
C002769,47997,45122,41672
C002825,54265,46962,38337
C002826,54265,46962,38337
C002828,40637,34715,27642
C002829,40637,34715,27642
C002831,56162,49952,42650
C002832,56162,49952,42650
C002834,55185,50182,44260
C002835,55185,50182,44260
