C000328,0,7806,6096,5916,,,,
C000329,62,7206,6096,5316,,,,
C000330,62,7206,6096,5316,,,,
C000331,0,7806,6096,5916,,,,
C000332,63,7206,6096,5316,,,,
C000333,63,7206,6096,5316,,,,
C000334,0,7806,6096,5916,,,,
C000335,64,7206,6096,5316,,,,
C000336,64,7206,6096,5316,,,,
C000337,0,7806,6096,5916,,,,
C000338,65,7206,6096,5316,,,,
C000339,65,7206,6096,5316,,,,
C000340,0,7806,6096,5916,,,,
C000341,66,7206,6096,5316,,,,
C000342,66,7206,6096,5316,,,,
C000343,0,7806,6096,5916,,,,
C000344,67,7206,6096,5316,,,,
C000345,67,7206,6096,5316,,,,
C000346,0,7806,6096,5916,,,,
C000347,68,7206,6096,5316,,,,
C000348,68,7206,6096,5316,,,,
C000349,0,7806,6096,5916,,,,
C000350,69,7206,6096,5316,,,,
C000351,69,7206,6096,5316,,,,
C000352,0,7806,6096,5916,,,,
C000353,70,7206,6096,5316,,,,
C000354,70,7206,6096,5316,,,,
C000355,0,7806,6096,5916,,,,
C000356,73,7206,6096,5316,,,,
C000357,73,7206,6096,5316,,,,
C000358,0,7806,6096,5916,,,,
C000359,71,7206,6096,5316,,,,
C000360,71,7206,6096,5316,,,,
C000361,0,7806,6096,5916,,,,
C000362,72,7206,6096,5316,,,,
C000363,72,7206,6096,5316,,,,
C000364,0,7806,6096,5916,,,,
C000365,76,7206,6096,5316,,,,
C000366,76,7206,6096,5316,,,,
C000367,0,7806,6096,5916,,,,
C000368,77,7206,6096,5316,,,,
C000369,77,7206,6096,5316,,,,
C000370,0,7806,6096,5916,,,,
C000371,78,7206,6096,5316,,,,
C000372,78,7206,6096,5316,,,,
C000373,0,7806,6096,5916,,,,
C000374,79,7206,6096,5316,,,,
C000375,79,7206,6096,5316,,,,
C000376,0,7806,6096,5916,,,,
C000377,80,7206,6096,5316,,,,
C000378,80,7206,6096,5316,,,,
C000379,0,7806,6096,5916,,,,
C000380,81,7206,6096,5316,,,,
C000381,81,7206,6096,5316,,,,
C000382,0,7806,6096,5916,,,,
C000383,82,7206,6096,5316,,,,
C000384,82,7206,6096,5316,,,,
C000385,0,7806,6096,5916,,,,
C000386,83,7206,6096,5316,,,,
C000387,83,7206,6096,5316,,,,
C000388,0,7806,6096,5916,,,,
C000389,84,18966,16986,14676,,,,
C000390,84,18966,16986,14676,,,,
C000391,0,27516,24456,20826,,,,
C000392,112,87126,85056,82626,,,,
C000393,112,87126,85056,82626,,,,
C000394,0,97836,94296,90156,,,,
