sku,18k,14k,9k
C000913,50150,43450,35600
C000914,19050,16950,14350
C000915,19050,16950,14350
C000916,30150,26400,22000
C000917,24550,22650,20400
C000918,24550,22650,20400
C000919,34150,30900,27050
C000920,33550,31100,28200
C000921,33550,31100,28200
C000922,44900,40900,36200
C000923,47150,44300,40900
C000924,47150,44300,40900
C000925,60450,55750,50250
C000926,58300,55000,51100
C000927,58300,55000,51100
C000928,73450,68100,61750
C000929,59400,56900,53950
C000930,59400,56900,53950
C000931,70800,66700,61950
C000932,71100,67800,63850
C000933,57600,54250,50350
C000934,72750,67350,61050
C000935,60750,57050,52650
C000936,60750,57050,52650
C000937,77850,71800,64650
C000938,58150,55600,52650
C000939,58150,55600,52650
C000940,69500,65400,60700
C000941,67050,64150,60700
C000942,67050,64150,60700
C000943,80300,75550,70000
C000944,63050,59750,55800
C000945,63050,59750,55800
C000946,78200,72800,66500
C000947,68250,64500,60100
C000948,68250,64500,60100
C000949,85300,79250,72100
C000950,73700,69900,65550
C000951,73700,69900,65550
C000952,90700,84650,77550
C000953,65100,61800,57900
C000954,65100,61800,57900
C000955,80250,74850,68550
C000956,38100,34350,29950
C000957,38100,34350,29950
C000958,55100,49050,41950
C000959,37650,31500,24300
C000960,37650,31500,24300
C000961,69750,59100,46600
C000962,63000,59050,54350
C000963,63000,59050,54350
C000964,81200,74700,67150
C000965,66950,63200,58800
C000966,66950,63200,58800
C000967,84000,77900,70850
C000968,82900,79550,75600
C000969,82900,79550,75600
C000970,98100,92650,86250
C000971,111450,107650,103100
C000972,111450,107650,103100
C000973,128550,122400,115200
C000974,110700,106700,102000
C000975,110700,106700,102000
C000976,130850,124050,116100
C000977,48350,45300,41750
C000978,48350,45300,41750
C000979,60150,55600,50200
C000980,32400,29150,25400
C000981,32400,29150,25400
C000982,46100,41100,35150
C000983,62350,58400,53850
C000984,62350,58400,53850
C000985,79400,73250,65950
C000986,52200,48550,44250
C000987,52200,48550,44250
C000988,68200,62350,55550
C000989,31050,27000,22250
C000990,31050,27000,22250
C000991,51450,44600,36450
C000992,35850,32550,28700
C000993,35850,32550,28700
C000994,51000,45650,39350
C000995,29350,26000,21950
C000996,29350,26000,21950
C000997,44700,39250,32800
C000998,61300,57250,52500
C000999,61300,57250,52500
C001000,81300,74450,66450
C001001,33050,28650,23500
C001002,33050,28650,23500
C001003,54700,47300,38600
C001004,26150,22650,18550
C001005,26150,22650,18550
C001006,41650,36000,29500
C001007,60300,56550,52100
C001008,60300,56550,52100
C001009,76500,70550,63600
C001010,33500,29700,25200
C001011,33500,29700,25200
C001012,51400,45150,37750
C001013,47350,42950,37700
C001014,47350,42950,37700
C001015,69350,61800,53000
C001016,20350,18300,15900
C001017,20350,18300,15900
C001018,30850,27300,23100
C001019,42100,37550,32250
C001020,42100,37550,32250
C001021,64400,56800,47800
C001022,27000,24350,21300
C001023,27000,24350,21300
C001024,38400,34250,29350
C001025,46550,43600,40100
C001026,46550,43600,40100
C001027,59800,55050,49500
C001028,53150,47400,40650
C001029,53150,47400,40650
C001030,82850,73000,61350
C001031,56050,51550,46350
C001032,56050,51550,46350
C001033,79000,71350,62300
C001034,44650,41700,38250
C001035,44650,41700,38250
C001036,57950,53200,47650
C001037,47350,44600,41300
C001038,47350,44600,41300
C001039,59900,55450,50150
C001040,74550,68450,61300
C001041,74550,68450,61300
C001042,105900,95400,83100
C001043,63400,57500,50600
C001044,63400,57500,50600
C001045,93950,83750,71750
C001046,14350,12700,10800
C001047,14350,12700,10800
C001048,22700,19900,16550
C001049,17500,15450,13050
C001050,17500,15450,13050
C001051,28000,24450,20250
C001052,90950,84700,77300
C001053,90950,84700,77300
C001054,123500,112650,99900
C001055,63100,59350,54850
C001056,63100,59350,54850
C001057,80150,74050,66850
C001058,50800,47200,42950
C001059,50800,47200,42950
C001060,67100,61250,54450
C001061,47400,43650,39250
C001062,47400,43650,39250
C001063,64450,58400,51250
C001064,48550,43850,38400
C001065,48550,43850,38400
C001066,72700,64600,55150
C001067,30750,28300,25400
C001068,30750,28300,25400
C001069,42150,38150,33400
C001070,49250,45450,41000
C001071,49250,45450,41000
C001072,66700,60500,53250
C001073,37900,34050,29500
C001074,37900,34050,29500
C001075,56600,50150,42500
C001076,14650,13100,11100
C001077,14650,13100,11100
C001078,15750,14150,12200
C001079,23450,21000,18100
C001080,23450,21000,18100
C001081,34850,30800,26050
C001082,39200,35250,30600
C001083,39200,35250,30600
C001084,57350,50900,43400
C001085,37600,34300,30400
C001086,37600,34300,30400
C001087,52800,47400,41100
C001088,37550,34250,30350
C001089,37550,34250,30350
C001090,52650,47350,41000
C001091,63100,59350,54850
C001092,63100,59350,54850
C001093,80150,74050,66850
C001094,48350,44300,39500
C001095,48350,44300,39500
C001096,69250,62300,54050
C001097,28000,25250,22050
C001098,28000,25250,22050
C001099,40500,36050,30850
C001100,28600,25800,22500
C001101,28600,25800,22500
C001102,41500,36900,31550
C001103,54000,49550,44300
C001104,54000,49550,44300
C001105,77000,69300,60250
C001106,368500,364000,358800
C001107,368500,364000,358800
C001108,390700,383150,374300
C001109,248500,244950,240800
C001110,248500,244950,240800
C001111,264100,258400,251800
C001112,26750,24050,20950
C001113,26750,24050,20950
C001114,38850,34550,29500
C001115,79150,75900,72100
C001116,79150,75900,72100
C001117,93750,88500,82400
C001118,55750,51850,47200
C001119,55750,51850,47200
C001120,73600,67250,59800
C001121,79950,74800,68800
C001122,79950,74800,68800
C001123,106100,97350,87000
C001124,106100,101300,95650
C001125,106100,101300,95650
C001126,130350,122150,112500
C001127,63750,61450,58800
C001128,63750,61450,58800
C001129,72750,69250,65150
C001130,40800,36550,31550
C001131,40800,36550,31550
C001132,62950,55550,46900
C001133,52400,49200,45400
C001134,52400,49200,45400
C001135,67000,61800,55700
C001136,113950,111800,109250
C001137,113950,111800,109250
C001138,123900,120400,116200
C001139,49900,46350,42200
C001140,49900,46350,42200
C001141,65500,59800,53200
C001142,62950,58500,53250
C001143,62950,58500,53250
C001144,85150,77650,68750
C001145,55000,50950,46150
C001146,55000,50950,46150
C001147,75950,68950,60700
C001148,42600,39500,35850
C001149,42600,39500,35850
C001150,56600,51650,45750
C001151,79750,75400,70200
C001152,79750,75400,70200
C001153,101900,94400,85650
C001154,232900,229500,225500
C001155,232900,229500,225500
C001156,248150,242650,236200
C001157,33500,30150,26300
C001158,33500,30150,26300
