sku,22k,18k,14k,9k
C004307,,46068,40121,36415
C004308,,46068,40121,36415
C004310,,23900,18477,15404
C004311,,23900,18477,15404
C004313,,35112,27867,23630
C004314,,35112,27867,23630
C004316,,28640,22450,18638
C004317,,28640,22450,18638
C004319,,28708,23004,19402
C004320,,28708,23004,19402
C004322,,34483,26958,21174
C004323,,34483,26958,21174
C004325,,32020,27373,23175
C004326,,32020,27373,23175
C004328,,38968,32778,28966
C004329,,38968,32778,28966
C004331,,52132,47485,43287
C004332,,52132,47485,43287
C004334,,116377,109215,101365
C004335,,116377,109215,101365
C004337,,36641,29686,24113
C004338,,36641,29686,24113
C004340,,34721,29260,25764
C004341,,34721,29260,25764
C004343,,50298,43829,38468
C004344,,50298,43829,38468
C004346,,22813,17389,14316
C004347,,22813,17389,14316
C004349,,165604,160957,156759
C004350,,165604,160957,156759
C004352,,384632,377387,373151
C004353,,384632,377387,373151
C004355,,45440,38195,33958
C004356,,45440,38195,33958
C004358,,40547,33303,29066
C004359,,40547,33303,29066
C004361,,18482,13870,11116
C004362,,18482,13870,11116
C004364,,19093,14967,12426
C004365,,19093,14967,12426
C004367,,28759,24111,19914
C004368,,28759,24111,19914
C004370,,24444,19020,15947
C004371,,24444,19020,15947
C004373,,27162,21738,18665
C004374,,27162,21738,18665
C004376,,29965,25839,23297
C004377,,29965,25839,23297
C004379,,19671,15788,13352
C004380,,19671,15788,13352
C004382,,24563,20680,18244
C004383,,24563,20680,18244
C004385,,23442,19316,16774
C004386,,23442,19316,16774
C004388,,27773,22834,19975
C004389,,27773,22834,19975
C004391,,23680,18619,15706
C004392,,23680,18619,15706
C004394,,20792,17152,14821
C004395,,20792,17152,14821
C004397,,102651,93404,85513
C004398,,102651,93404,85513
C004400,,73825,67611,60765
C004401,,73825,67611,60765
C004403,,59743,55095,50898
C004404,,59743,55095,50898
C004406,,88892,79583,70091
C004407,,88892,79583,70091
C004409,,94277,85393,77660
C004410,,94277,85393,77660
C004412,,59165,54275,49972
C004413,,59165,54275,49972
C004415,,36420,31808,29054
C004416,,36420,31808,29054
C004418,,26703,22577,20036
C004419,,26703,22577,20036
C004421,,48056,42715,38254
C004422,,48056,42715,38254
C004424,,83881,75872,70893
C004425,,83881,75872,70893
C004427,,68491,62212,58367
C004428,,68491,62212,58367
C004430,,102685,92332,82311
C004431,,102685,92332,82311
C004433,,48056,42715,38254
C004434,,48056,42715,38254
C004436,,58146,50770,45027
C004437,,58146,50770,45027
C004439,,204980,190064,176123
C004440,,204980,190064,176123
C004442,,85172,77302,70652
C004443,,85172,77302,70652
C004445,,38951,32768,25946
C004446,,38951,32768,25946
C004448,,90981,81854,74017
C004449,,90981,81854,74017
C004451,,71260,65445,58813
C004452,,71260,65445,58813
C004454,,147904,136701,125196
C004455,,147904,136701,125196
C004457,,78530,71819,66350
C004458,,78530,71819,66350
C004460,,92408,84324,75997
C004461,,92408,84324,75997
C004463,,89351,80224,72386
C004464,,89351,80224,72386
C004466,,85087,78472,71416
C004467,,85087,78472,71416
C004469,,79719,70993,62348
C004470,,79719,70993,62348
C004472,,121082,111931,102544
C004473,,121082,111931,102544
C004475,,55377,49916,46420
C004476,,55377,49916,46420
C004478,,40259,35890,33241
C004479,,40259,35890,33241
C004481,,57381,52037,47544
C004482,,57381,52037,47544
C004484,,51045,46398,42200
C004485,,51045,46398,42200
C004487,,56804,49522,43843
C004488,,56804,49522,43843
C004490,,39630,34983,30785
C004491,,39630,34983,30785
C004493,,3075,2351,2066
C004494,,3075,2351,2066
C004496,,3618,2895,2609
C004497,,3618,2895,2609
C004499,,4162,3438,3153
C004500,,4162,3438,3153
C004502,,4705,3982,3696
C004503,,4705,3982,3696
C004505,,5249,4525,4240
C004506,,5249,4525,4240
C004508,,6795,6131,5854
C004509,,6795,6131,5854
C004511,,7474,6810,6533
C004512,,7474,6810,6533
C004514,,8154,7489,7213
C004515,,8154,7489,7213
C004517,,8833,8169,7892
C004518,,8833,8169,7892
C004520,,10022,9088,8718
C004521,,10022,9088,8718
C004523,,10702,9767,9397
C004524,,10702,9767,9397
C004526,,11381,10447,10077
C004527,,11381,10447,10077
C004529,,15968,15028,14626
C004530,,15968,15028,14626
C004532,,16987,15990,15577
C004533,,16987,15990,15577
C004535,,18940,17884,17461
C004536,,18940,17884,17461
C004538,,19875,18845,18412
C004539,,19875,18845,18412
C004541,,22592,21505,21060
C004542,,22592,21505,21060
C004544,,6217,5283,4913
C004545,,6217,5283,4913
C004547,,11874,10576,10046
C004548,,11874,10576,10046
C004550,,4535,3929,3664
C004551,,4535,3929,3664
C004553,,5877,5123,4816
C004554,,5877,5123,4816
C004556,,5928,4872,4449
C004557,,5928,4872,4449
C004559,,3788,2974,2657
C004560,,3788,2974,2657
C004562,,12927,12405,10751
C004563,,12927,12405,10751
C004565,,4671,3705,3314
C004566,,4671,3705,3314
C004568,,8069,6771,6241
C004569,,8069,6771,6241
C004571,,7814,6637,6159
C004572,,7814,6637,6159
C004574,,8103,7046,6623
C004575,,8103,7046,6623
C004577,,7236,5816,5234
C004578,,7236,5816,5234
C004580,,495760,484314,472704
C004581,,495760,484314,472704
C004583,,855710,838074,820150
C004584,,855710,838074,820150
