SKU,Design no,22k,18k,14k,9k,siij_price_22,sigh_price_22,vsgh_price_22,vvsgh_price_22,vvsef_price_22,siij_price_18,sigh_price_18,vsgh_price_18,vvsgh_price_18,vvsef_price_18,siij_price_14,sigh_price_14,vsgh_price_14,vvsgh_price_14,vvsef_price_14,siij_price_9,sigh_price_9,vsgh_price_9,vvsgh_price_9,vvsef_price_9
NK00007,cnnk021,63368,44962,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NK00008,cnnk026,71532,50755,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NK00009,cnnk022,117989,83717,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NK00010,cnnk024,49373,35032,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NK00011,cnnk40,77558,55030,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NK00012,cnnk031,65895,46755,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NK00013,cnnk032,70560,50065,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NK00014,cnnk033,64146,45514,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NK00015,cnnk042,89415,63443,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NK00016,cnnk043,68888,48879,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NK00017,cnnk061,60452,42893,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NK00018,cnnk045,82223,58340,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NK00019,cnnk078,95246,67581,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NK00020,cnnk052,91359,64822,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NK00021,cnnk073,47818,33928,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NK00022,cnnk069,32656,23171,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NK00023,cnnk067,68616,48686,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NK00024,cnnk072,47818,33928,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NK00025,cnnk063,53455,37928,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
